State,UBC,VM,TWENTYONE,SI,PC,TP,JG,SYG,AW,LCM,Firearm_Homicide,Firearm_Homicide_MV,Firearm_Hom_HIGH,Firearm_Hom_LOW,NORTHERN_GREAT_PLAINS
Alabama,0,0,0,1,0,0,0,1,0,0,9.8,2,1,0,0
Alaska,0,0,0,0,1,0,0,1,0,0,6.1,2,1,0,0
Arizona,0,0,0,0,1,0,0,1,0,0,4.6,1,0,0,0
Arkansas,0,0,0,1,0,0,0,0,0,0,6.4,2,1,0,0
California,1,1,0,0,0,1,1,0,1,1,3.7,1,0,0,0
Colorado,1,0,0,1,0,1,0,0,0,1,2.9,1,0,0,0
Connecticut,1,1,1,0,0,1,0,0,1,1,1.6,0,0,1,0
Delaware,1,0,0,0,0,1,0,0,0,0,4.9,1,0,0,0
Florida,0,0,0,1,0,1,0,1,0,0,5.3,1,0,0,0
Georgia,0,0,0,1,0,0,0,1,0,0,6.4,2,1,0,0
Hawaii,1,1,1,0,0,0,1,0,0,0,1.6,0,0,1,0
Idaho,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
Illinois,1,0,0,1,0,1,1,0,0,0,7.6,2,1,0,0
Indiana,0,0,0,1,0,0,0,1,0,0,5.8,2,1,0,0
Iowa,0,0,1,1,0,0,0,0,0,0,1.7,0,0,1,0
Kansas,0,0,0,0,1,0,0,1,0,0,4.1,1,0,0,0
Kentucky,0,0,0,1,0,0,0,1,0,0,5.6,1,0,0,0
Louisiana,0,0,0,1,0,0,0,1,0,0,11.6,2,1,0,0
Maryland,0,1,1,0,0,0,1,0,1,1,7.6,2,1,0,0
Massachusetts,1,0,1,0,0,1,1,0,1,1,1.3,0,0,1,0
Michigan,0,0,0,1,0,0,0,1,0,0,5.1,1,0,0,0
Minnesota,0,0,0,1,0,1,1,0,0,0,1.6,0,0,1,0
Mississippi,0,0,0,0,1,0,0,1,0,0,9.8,2,1,0,0
Missouri,0,0,0,1,0,0,0,0,0,0,8,2,1,0,0
Montana,0,0,0,1,0,0,0,1,0,0,1.9,0,0,1,1
Nebraska,0,0,0,1,0,0,0,0,0,0,2.5,0,0,1,1
Nevada,0,0,0,1,0,0,0,1,0,0,5.3,1,0,0,0
NewJersey,1,0,1,0,0,0,0,0,1,1,3.5,1,0,0,0
NewMexico,0,0,0,1,0,0,0,0,0,0,5.8,2,1,0,0
NewYork,1,1,1,0,0,1,0,0,1,1,2,0,0,1,0
NorthCarolina,0,0,0,1,0,0,0,1,0,0,5.7,2,1,0,0
NorthDakota,0,0,0,1,0,1,0,0,0,0,1.3,0,0,1,1
Ohio,0,0,0,1,0,1,0,0,0,0,5.1,1,0,0,0
Oklahoma,0,0,0,1,0,0,0,1,0,0,6.4,2,1,0,0
Oregon,1,0,0,1,0,0,0,0,0,0,1.9,0,0,1,0
Pennsylvania,0,0,0,1,0,0,0,0,0,0,4.5,1,0,0,0
RhodeIsland,1,0,1,0,0,0,0,0,0,0,1.1,0,0,1,0
SouthCarolina,0,0,0,1,0,0,0,1,0,0,7.1,2,1,0,0
SouthDakota,0,0,0,1,0,0,0,1,0,0,1.8,0,0,1,1
Tennessee,0,0,0,1,0,0,0,1,0,0,6.7,2,1,0,0
Texas,0,0,0,1,0,0,0,1,0,0,4.4,1,0,0,0
Utah,0,0,0,1,0,1,0,1,0,0,1.5,0,0,1,0
Virginia,0,0,0,1,0,1,0,1,0,0,4.3,1,0,0,0
Washington,1,0,0,1,0,0,0,0,0,0,2,0,0,1,0
WestVirginia,0,0,0,0,1,0,0,1,0,0,4.6,1,0,0,0
Wisconsin,0,0,0,1,0,0,0,0,0,0,3.5,1,0,0,0
Wyoming,0,0,0,0,1,0,0,0,0,0,2,0,0,1,1