State,UBC,VM,TWENTYONE,SI,PC,TP,JG,SYG,AW,LCM,FIREARM_SUICIDE,FIREARM_SUI_LOW
Alabama,0,0,0,1,0,0,0,1,0,0,10.7,0
Alaska,0,0,0,0,1,0,0,1,0,0,14.4,0
Arizona,0,0,0,0,1,0,0,1,0,0,10.2,0
Arkansas,0,0,0,1,0,0,0,0,0,0,10.4,0
California,1,1,0,0,0,1,1,0,1,1,3.9,1
Colorado,1,0,0,1,0,1,0,0,0,1,10.7,0
Connecticut,1,1,1,0,0,1,0,0,1,1,2.7,1
Delaware,1,0,0,0,0,1,0,0,0,0,5.9,1
Florida,0,0,0,1,0,1,0,1,0,0,7.1,1
Georgia,0,0,0,1,0,0,0,1,0,0,8.1,0
Hawaii,1,1,1,0,0,0,1,0,0,0,2.4,1
Idaho,0,0,0,0,1,0,0,0,0,0,12.8,0
Illinois,1,0,0,1,0,1,1,0,0,0,3.7,1
Indiana,0,0,0,1,0,0,0,1,0,0,8.5,0
Iowa,0,0,1,1,0,0,0,0,0,0,7.2,1
Kansas,0,0,0,0,1,0,0,1,0,0,8.8,0
Kentucky,0,0,0,1,0,0,0,1,0,0,10.8,0
Louisiana,0,0,0,1,0,0,0,1,0,0,9.1,0
Maine,0,0,0,0,1,0,0,0,0,0,7.4,0
Maryland,0,1,1,0,0,0,1,0,1,1,3.9,1
Massachusetts,1,0,1,0,0,1,1,0,1,1,1.9,1
Michigan,0,0,0,1,0,0,0,1,0,0,6.8,1
Minnesota,0,0,0,1,0,1,1,0,0,0,5.8,1
Mississippi,0,0,0,0,1,0,0,1,0,0,8.7,0
Missouri,0,0,0,1,0,0,0,0,0,0,10.3,0
Montana,0,0,0,1,0,0,0,1,0,0,15.6,0
Nebraska,0,0,0,1,0,0,0,0,0,0,6.1,1
Nevada,0,0,0,1,0,0,0,1,0,0,10.9,0
NewHampshire,0,0,0,1,0,0,0,1,0,0,8.6,0
NewJersey,1,0,1,0,0,0,0,0,1,1,1.8,1
NewMexico,0,0,0,1,0,0,0,0,0,0,11,0
NewYork,1,1,1,0,0,1,0,0,1,1,2.3,1
NorthCarolina,0,0,0,1,0,0,0,1,0,0,7.3,0
NorthDakota,0,0,0,1,0,1,0,0,0,0,9.9,0
Ohio,0,0,0,1,0,1,0,0,0,0,7.4,0
Oklahoma,0,0,0,1,0,0,0,1,0,0,12.9,0
Oregon,1,0,0,1,0,0,0,0,0,0,9.3,0
Pennsylvania,0,0,0,1,0,0,0,0,0,0,7,1
RhodeIsland,1,0,1,0,0,0,0,0,0,0,2.8,1
SouthCarolina,0,0,0,1,0,0,0,1,0,0,9.9,0
SouthDakota,0,0,0,1,0,0,0,1,0,0,10.4,0
Tennessee,0,0,0,1,0,0,0,1,0,0,9.7,0
Texas,0,0,0,1,0,0,0,1,0,0,7.3,0
Utah,0,0,0,1,0,1,0,1,0,0,10.9,0
Vermont,0,0,0,0,1,0,0,0,0,0,9.6,0
Virginia,0,0,0,1,0,1,0,1,0,0,7.4,0
Washington,1,0,0,1,0,0,0,0,0,0,6.6,1
WestVirginia,0,0,0,0,1,0,0,1,0,0,12.1,0
Wisconsin,0,0,0,1,0,0,0,0,0,0,7.5,0
Wyoming,0,0,0,0,1,0,0,0,0,0,15,0